"","tmp.dates","date.begin","date.end","qf.lst"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-02-01_1km.tif","2006-02-01",2006-02-01,2006-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-03-01_1km.tif","2006-03-01",2006-03-01,2006-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-04-01_1km.tif","2006-04-01",2006-04-01,2006-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-05-01_1km.tif","2006-05-01",2006-05-01,2006-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-06-01_1km.tif","2006-06-01",2006-06-01,2006-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-07-01_1km.tif","2006-07-01",2006-07-01,2006-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-08-01_1km.tif","2006-08-01",2006-08-01,2006-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-09-01_1km.tif","2006-09-01",2006-09-01,2006-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-10-01_1km.tif","2006-10-01",2006-10-01,2006-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-11-01_1km.tif","2006-11-01",2006-11-01,2006-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-12-01_1km.tif","2006-12-01",2006-12-01,2006-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-01-01_1km.tif","2007-01-01",2007-01-01,2007-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-02-01_1km.tif","2007-02-01",2007-02-01,2007-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-03-01_1km.tif","2007-03-01",2007-03-01,2007-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-04-01_1km.tif","2007-04-01",2007-04-01,2007-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-05-01_1km.tif","2007-05-01",2007-05-01,2007-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-06-01_1km.tif","2007-06-01",2007-06-01,2007-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-07-01_1km.tif","2007-07-01",2007-07-01,2007-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-08-01_1km.tif","2007-08-01",2007-08-01,2007-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-09-01_1km.tif","2007-09-01",2007-09-01,2007-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-10-01_1km.tif","2007-10-01",2007-10-01,2007-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-11-01_1km.tif","2007-11-01",2007-11-01,2007-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-12-01_1km.tif","2007-12-01",2007-12-01,2007-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-01-01_1km.tif","2008-01-01",2008-01-01,2008-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-02-01_1km.tif","2008-02-01",2008-02-01,2008-02-29,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-03-01_1km.tif","2008-03-01",2008-03-01,2008-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-04-01_1km.tif","2008-04-01",2008-04-01,2008-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-05-01_1km.tif","2008-05-01",2008-05-01,2008-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-06-01_1km.tif","2008-06-01",2008-06-01,2008-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-07-01_1km.tif","2008-07-01",2008-07-01,2008-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-08-01_1km.tif","2008-08-01",2008-08-01,2008-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-09-01_1km.tif","2008-09-01",2008-09-01,2008-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-10-01_1km.tif","2008-10-01",2008-10-01,2008-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-11-01_1km.tif","2008-11-01",2008-11-01,2008-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-12-01_1km.tif","2008-12-01",2008-12-01,2008-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-01-01_1km.tif","2009-01-01",2009-01-01,2009-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-02-01_1km.tif","2009-02-01",2009-02-01,2009-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-03-01_1km.tif","2009-03-01",2009-03-01,2009-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-04-01_1km.tif","2009-04-01",2009-04-01,2009-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-05-01_1km.tif","2009-05-01",2009-05-01,2009-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-06-01_1km.tif","2009-06-01",2009-06-01,2009-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-07-01_1km.tif","2009-07-01",2009-07-01,2009-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-08-01_1km.tif","2009-08-01",2009-08-01,2009-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-09-01_1km.tif","2009-09-01",2009-09-01,2009-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-10-01_1km.tif","2009-10-01",2009-10-01,2009-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-11-01_1km.tif","2009-11-01",2009-11-01,2009-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-12-01_1km.tif","2009-12-01",2009-12-01,2009-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-01-01_1km.tif","2010-01-01",2010-01-01,2010-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-02-01_1km.tif","2010-02-01",2010-02-01,2010-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-03-01_1km.tif","2010-03-01",2010-03-01,2010-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-04-01_1km.tif","2010-04-01",2010-04-01,2010-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-05-01_1km.tif","2010-05-01",2010-05-01,2010-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-06-01_1km.tif","2010-06-01",2010-06-01,2010-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-07-01_1km.tif","2010-07-01",2010-07-01,2010-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-08-01_1km.tif","2010-08-01",2010-08-01,2010-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-09-01_1km.tif","2010-09-01",2010-09-01,2010-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-10-01_1km.tif","2010-10-01",2010-10-01,2010-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-11-01_1km.tif","2010-11-01",2010-11-01,2010-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-12-01_1km.tif","2010-12-01",2010-12-01,2010-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-01-01_1km.tif","2011-01-01",2011-01-01,2011-01-31,"l0.05"
